,r-i,g-r,afterExp
0,-0.7271156311035156,0.02800750732421875,-0.006250000000001421
1,-0.7348041534423828,0.0393524169921875,0.9937499999999986
2,-0.6911277770996094,0.023258209228515625,1.9937499999999986
3,-0.5557594299316406,-0.0293731689453125,2.9937499999999986
4,-0.3882293701171875,-0.09799575805664062,3.9937499999999986
5,-0.2812538146972656,-0.14611053466796875,4.993749999999999
6,-0.21390151977539062,-0.1772308349609375,5.993749999999999
7,-0.1823883056640625,-0.19594192504882812,6.993749999999999
8,-0.027973175048828125,-0.2034778594970703,2.3335937500000004
9,-0.028507232666015625,-0.2059783935546875,3.3335937500000004
10,0.014867782592773438,-0.18985748291015625,4.33359375
11,0.02953338623046875,-0.1838836669921875,5.33359375
12,0.049503326416015625,-0.15023422241210938,6.33359375
13,0.0661163330078125,-0.1057281494140625,7.33359375
14,-0.1785717010498047,-0.12564659118652344,1.8000000000000007
15,-0.2611808776855469,-0.3178424835205078,2.8000000000000007
16,-0.25487518310546875,-0.37827301025390625,3.8000000000000007
17,-0.21527862548828125,-0.3226203918457031,4.800000000000001
18,-0.19420433044433594,-0.28088951110839844,5.800000000000001
19,-0.1690196990966797,-0.2670574188232422,6.800000000000001
20,-2.1402759552001953,0.4380073547363281,0.11874999999999858
21,-2.0837554931640625,0.42775535583496094,1.1187499999999986
22,-1.9654541015625,0.4177284240722656,2.1187499999999986
23,-1.1653938293457031,0.3137989044189453,3.1187499999999986
24,-0.5227775573730469,0.16734695434570312,4.118749999999999
25,-0.28211021423339844,0.09418869018554688,5.118749999999999
26,-0.16391372680664062,0.05396461486816406,6.118749999999999
27,-0.11096572875976562,0.029773712158203125,7.118749999999999
28,-0.18518829345703125,-0.45987510681152344,3.5539062500000007
29,-0.16693687438964844,-0.4054145812988281,4.553906250000001
30,-0.14406585693359375,-0.3372611999511719,5.553906250000001
31,-0.1328582763671875,-0.31218528747558594,6.553906250000001
32,-0.10514640808105469,-0.29405784606933594,7.553906250000001
33,-0.046817779541015625,-0.2451324462890625,3.140625
34,-0.04590797424316406,-0.2521800994873047,4.140625
35,-0.02239990234375,-0.21480941772460938,5.140625
36,-0.0063228607177734375,-0.18798255920410156,6.140625
37,0.0069789886474609375,-0.15489768981933594,7.140625
38,-0.21793174743652344,-0.4797210693359375,0.028125000000000178
39,-0.19510269165039062,-0.4134235382080078,1.0281250000000002
40,-0.17259788513183594,-0.34537315368652344,2.028125
41,-0.1561279296875,-0.3218860626220703,3.028125
42,-0.12874221801757812,-0.30970191955566406,4.028125
43,-0.10888671875,-0.3091907501220703,5.028125
44,-0.09467124938964844,-0.3081035614013672,6.028125
45,-0.07955741882324219,-0.2998695373535156,7.028125
46,-0.08335685729980469,-0.21077537536621094,2.2898437499999993
47,-0.10078239440917969,-0.3107585906982422,3.2898437499999993
48,-0.09588050842285156,-0.3025321960449219,4.289843749999999
49,-0.06807899475097656,-0.2592792510986328,5.289843749999999
50,-0.05711174011230469,-0.2420520782470703,6.289843749999999
51,-0.03360176086425781,-0.2128009796142578,7.289843749999999
52,-0.5845127105712891,0.10491180419921875,0.23593749999999858
53,-0.5873260498046875,0.10944175720214844,1.2359374999999986
54,-0.5116176605224609,0.05980491638183594,2.2359374999999986
55,-0.3689842224121094,-0.029798507690429688,3.2359374999999986
56,-0.2658538818359375,-0.09769248962402344,4.235937499999999
57,-0.20133590698242188,-0.14110183715820312,5.235937499999999
58,-0.1661701202392578,-0.16783523559570312,6.235937499999999
59,-0.1556415557861328,-0.18427467346191406,7.235937499999999
60,-0.1746196746826172,-0.3758087158203125,3.1609374999999993
61,-0.16463470458984375,-0.37135887145996094,4.160937499999999
62,-0.13118362426757812,-0.32003021240234375,5.160937499999999
63,-0.10927963256835938,-0.2859306335449219,6.160937499999999
64,-0.08908653259277344,-0.27344703674316406,7.160937499999999
65,0.43006134033203125,1.5272026062011719,6.259374999999999
66,0.32142066955566406,0.4261035919189453,7.259374999999999
67,-0.2515583038330078,-0.40766334533691406,2.0476562499999993
68,-0.23131370544433594,-0.4375953674316406,3.0476562499999993
69,-0.19321441650390625,-0.37162017822265625,4.047656249999999
70,-0.16810226440429688,-0.3180427551269531,5.047656249999999
